                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4865,                  3.923,                  2.456,                0.01649,                0.29621,                0.01422,                0.00437,                 2.4399,                 3.5345,                 2.3135,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.5907,                 3.7862,                  2.442,                0.01598,                0.29146,                0.01532,                0.00503,                 2.4282,                 3.5088,                  2.298,             4.2587e-05,             4.2587e-05,             4.2587e-05
                      3,                 2.6738,                 4.1192,                 2.3114,                0.01766,                0.23428,                0.01708,                0.00554,                 2.3973,                 3.4846,                 2.2742,             7.0507e-05,             7.0507e-05,             7.0507e-05
                      4,                  2.551,                 3.8641,                  2.238,                0.01851,                0.33395,                0.01904,                0.00645,                 2.3704,                 3.4204,                 2.2512,             9.8049e-05,             9.8049e-05,             9.8049e-05
                      5,                 2.5274,                 3.6889,                 2.4192,                0.01913,                0.34868,                0.02118,                0.00704,                 2.3234,                 3.3543,                 2.2217,             0.00012521,             0.00012521,             0.00012521
                      6,                 2.5539,                 3.7691,                 2.3299,                0.02197,                 0.4783,                0.02478,                0.00819,                 2.2712,                 3.2697,                 2.1879,               0.000152,               0.000152,               0.000152
                      7,                 2.5051,                 3.5017,                 2.2655,                0.02442,                0.37328,                0.04056,                0.01448,                 2.1315,                 3.0306,                 2.0827,             0.00017841,             0.00017841,             0.00017841
                      8,                 2.3991,                 3.3229,                 2.3697,                0.13935,                0.17601,                0.08067,                0.02728,                 2.0449,                 2.6605,                 1.9937,             0.00020445,             0.00020445,             0.00020445
                      9,                 2.3379,                 3.2262,                 2.0345,                0.71974,                0.16407,                0.10627,                0.03567,                 1.9617,                 2.2259,                 1.8681,              0.0002301,              0.0002301,              0.0002301
                     10,                 2.1891,                 2.6175,                 1.8945,                0.72393,                0.20208,                0.11567,                0.04317,                 1.9106,                 2.0558,                 1.7675,             0.00025538,             0.00025538,             0.00025538
                     11,                 2.1734,                 2.5111,                 1.7946,                 0.5923,                0.28632,                0.13669,                0.04745,                 1.8611,                 2.7587,                 1.6976,             0.00028028,             0.00028028,             0.00028028
                     12,                 2.0149,                 2.0667,                 1.7289,                0.60557,                0.33547,                0.18496,                0.06399,                 1.7867,                 3.3826,                 1.6534,             0.00030481,             0.00030481,             0.00030481
                     13,                  2.055,                 2.2077,                 1.6951,                0.78769,                0.21929,                0.19997,                0.07248,                  1.736,                 3.2303,                  1.633,             0.00032896,             0.00032896,             0.00032896
                     14,                 2.0075,                  2.272,                 1.6814,                0.81298,                0.20745,                0.18486,                0.07264,                 1.6788,                   2.57,                 1.6055,             0.00035273,             0.00035273,             0.00035273
                     15,                 1.7677,                 1.8605,                 1.6843,                0.83986,                0.21803,                0.22557,                0.09318,                 1.6143,                 1.9067,                 1.5874,             0.00037612,             0.00037612,             0.00037612
                     16,                 1.8692,                 1.9622,                 1.5922,                0.56172,                0.38288,                0.27786,                0.10808,                 1.6168,                 1.6581,                 1.6126,             0.00039913,             0.00039913,             0.00039913
                     17,                 1.7631,                 1.8972,                 1.8373,                0.62577,                0.42614,                0.31889,                0.12784,                 1.6332,                 1.6517,                 1.6748,             0.00042177,             0.00042177,             0.00042177
