                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7265,                 4.0506,                 2.2959,                0.01535,                0.20499,                0.01456,                0.00474,                 2.5708,                 3.4818,                  2.303,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 2.6559,                 3.8194,                 2.2678,                0.02191,                0.29865,                0.02747,                0.00897,                 2.3789,                 3.2526,                 2.1528,              9.937e-05,              9.937e-05,              9.937e-05
                      3,                 2.5253,                 3.5399,                 2.1812,                0.04886,                0.18724,                0.06187,                0.02207,                 2.1367,                 2.5465,                 1.8954,             0.00015512,             0.00015512,             0.00015512
                      4,                 2.3124,                 2.8195,                 2.0105,                0.74733,                0.16257,                0.07663,                 0.0289,                 1.9722,                 2.0391,                 1.6927,             0.00021011,             0.00021011,             0.00021011
                      5,                 2.2144,                 2.4328,                 1.8189,                0.76512,                0.17216,                0.09674,                0.03618,                 1.8962,                 2.2177,                 1.6328,             0.00026434,             0.00026434,             0.00026434
                      6,                 2.0305,                 2.0499,                 1.7157,                0.78127,                0.19039,                0.13446,                0.05161,                 1.8578,                 2.6957,                 1.6132,             0.00031782,             0.00031782,             0.00031782
                      7,                  2.057,                 2.0552,                 1.6612,                0.80883,                0.19743,                0.19526,                 0.0772,                 1.8237,                 2.7872,                 1.6005,             0.00037055,             0.00037055,             0.00037055
                      8,                 2.0235,                 1.9028,                  1.665,                0.56696,                0.37394,                0.25896,                 0.1132,                 1.7757,                 2.1925,                 1.5952,             0.00042252,             0.00042252,             0.00042252
                      9,                 1.8886,                 1.7255,                 1.6427,                0.63983,                0.30584,                0.28067,                0.12319,                 1.7483,                 1.8808,                 1.6261,             0.00047374,             0.00047374,             0.00047374
                     10,                 1.8404,                 1.6309,                  1.572,                0.28769,                0.35817,                0.29059,                0.12163,                 1.7184,                 1.7445,                  1.663,             0.00052421,             0.00052421,             0.00052421
                     11,                 1.8163,                 1.5397,                  1.621,                0.65273,                0.32853,                0.29308,                0.13326,                  1.633,                 1.7578,                 1.6275,             0.00057391,             0.00057391,             0.00057391
                     12,                 1.7404,                 1.4914,                 1.7103,                0.62178,                0.40185,                 0.3184,                0.14997,                 1.6362,                 1.9403,                 1.6738,             0.00062287,             0.00062287,             0.00062287
                     13,                 1.7759,                 1.4157,                 1.6747,                0.60323,                 0.4112,                0.28298,                0.13495,                 1.5531,                 2.0587,                  1.728,             0.00067107,             0.00067107,             0.00067107
                     14,                 1.6253,                 1.4192,                 1.6687,                0.56643,                0.44055,                0.27639,                0.12726,                 1.5715,                 1.8646,                 1.7994,             0.00071852,             0.00071852,             0.00071852
                     15,                 1.7724,                 1.5251,                 1.7768,                0.67399,                0.38267,                0.35004,                0.16872,                 1.5303,                 1.5448,                 1.7429,             0.00076521,             0.00076521,             0.00076521
                     16,                 1.6425,                 1.3489,                 1.7173,                0.69558,                0.40773,                0.37422,                0.17573,                 1.5392,                 1.6454,                 1.7439,             0.00081114,             0.00081114,             0.00081114
                     17,                 1.6343,                 1.3512,                 1.8009,                0.71441,                0.37527,                0.37262,                0.17832,                 1.5481,                 1.7181,                 1.7492,             0.00085633,             0.00085633,             0.00085633
                     18,                 1.6768,                 1.4028,                 1.7075,                0.64747,                 0.3973,                0.34995,                0.17149,                 1.5054,                 1.8534,                 1.6724,             0.00090075,             0.00090075,             0.00090075
                     19,                 1.5841,                 1.2883,                 1.6672,                0.68234,                0.43349,                0.35524,                0.16963,                 1.5774,                 1.8143,                  1.717,             0.00094443,             0.00094443,             0.00094443
                     20,                 1.5845,                 1.3381,                 1.6461,                0.69577,                0.43225,                0.38181,                0.17982,                 1.5837,                 1.6699,                 1.7206,             0.00098734,             0.00098734,             0.00098734
                     21,                 1.6267,                 1.3029,                 1.5715,                0.69535,                0.43766,                 0.4226,                0.20849,                 1.4832,                 1.3842,                  1.611,              0.0010295,              0.0010295,              0.0010295
                     22,                 1.6191,                 1.2516,                 1.6147,                0.69847,                0.41322,                0.40111,                 0.2053,                 1.4917,                 1.3668,                 1.6184,              0.0010709,              0.0010709,              0.0010709
                     23,                  1.571,                 1.2618,                 1.6762,                0.70808,                0.39897,                0.42516,                0.20234,                 1.5194,                 1.4659,                 1.6697,              0.0011116,              0.0011116,              0.0011116
                     24,                 1.5852,                 1.2202,                 1.6892,                0.66731,                0.42735,                0.42698,                0.21113,                 1.5278,                 1.5119,                 1.7132,              0.0011515,              0.0011515,              0.0011515
                     25,                 1.6704,                 1.2065,                 1.6115,                0.66853,                0.41075,                0.41919,                0.20172,                 1.6334,                 1.5497,                 1.8475,              0.0011906,              0.0011906,              0.0011906
                     26,                 1.5565,                 1.2292,                 1.6234,                 0.6905,                 0.3899,                0.42579,                0.19799,                 1.6722,                 1.5185,                 1.8886,              0.0011932,              0.0011932,              0.0011932
                     27,                 1.6204,                 1.3171,                 1.7372,                0.70175,                0.41555,                   0.43,                0.20343,                 1.5439,                 1.4027,                 1.7518,              0.0011838,              0.0011838,              0.0011838
                     28,                 1.5123,                 1.2218,                 1.6359,                0.71146,                0.41999,                0.44616,                 0.2195,                 1.4691,                 1.2847,                 1.6809,              0.0011744,              0.0011744,              0.0011744
                     29,                 1.5054,                 1.2411,                 1.6763,                0.73649,                0.41273,                0.46691,                0.22804,                 1.4401,                 1.2039,                 1.6532,              0.0011649,              0.0011649,              0.0011649
                     30,                  1.537,                 1.1921,                 1.6404,                0.73204,                0.45651,                0.46388,                0.21673,                 1.4368,                 1.1796,                  1.654,              0.0011555,              0.0011555,              0.0011555
                     31,                 1.6091,                 1.2321,                 1.6464,                0.79151,                0.40621,                0.48569,                0.22728,                 1.4516,                 1.1546,                  1.671,              0.0011461,              0.0011461,              0.0011461
                     32,                 1.5091,                 1.1458,                 1.6999,                0.72601,                0.50542,                0.50482,                0.23837,                 1.4359,                 1.0909,                 1.6419,              0.0011366,              0.0011366,              0.0011366
                     33,                  1.543,                 1.1882,                 1.6233,                0.76057,                0.50991,                0.53852,                0.24681,                 1.4216,                 1.0436,                 1.6082,              0.0011272,              0.0011272,              0.0011272
                     34,                 1.5498,                 1.1239,                 1.5711,                0.83965,                 0.4945,                0.57348,                 0.2716,                 1.4048,                 1.0238,                 1.5848,              0.0011178,              0.0011178,              0.0011178
                     35,                 1.5662,                 1.1287,                 1.6474,                0.88354,                0.47085,                 0.5784,                0.27023,                 1.3885,                 1.0351,                 1.5889,              0.0011083,              0.0011083,              0.0011083
                     36,                 1.5256,                 1.1228,                 1.6361,                0.83331,                0.43303,                0.53981,                0.26529,                  1.386,                 1.0654,                 1.6112,              0.0010989,              0.0010989,              0.0010989
                     37,                 1.5108,                 1.1192,                 1.6427,                0.75724,                  0.491,                0.52106,                 0.2591,                 1.3682,                 1.0578,                 1.5921,              0.0010895,              0.0010895,              0.0010895
                     38,                 1.5103,                 1.1501,                 1.6463,                0.79438,                0.46336,                0.55268,                0.24949,                 1.4564,                 1.0593,                 1.6461,                0.00108,                0.00108,                0.00108
                     39,                 1.4838,                 1.1611,                  1.667,                0.79047,                0.45665,                0.57088,                 0.2504,                 1.5525,                 1.0728,                  1.725,              0.0010706,              0.0010706,              0.0010706
                     40,                 1.4485,                 1.1441,                 1.7119,                0.82471,                0.43131,                0.48347,                 0.2342,                 1.5543,                  1.076,                 1.7398,              0.0010612,              0.0010612,              0.0010612
                     41,                 1.5394,                 1.0806,                 1.6511,                0.80734,                0.46761,                0.51306,                0.26107,                 1.4442,                 1.0547,                 1.6681,              0.0010517,              0.0010517,              0.0010517
                     42,                 1.5328,                 1.1746,                 1.7688,                0.80924,                0.46459,                0.50766,                0.26748,                  1.348,                 1.0453,                 1.6115,              0.0010423,              0.0010423,              0.0010423
                     43,                  1.534,                 1.1174,                 1.7365,                0.80958,                0.45201,                0.48471,                 0.2611,                 1.3378,                 1.0647,                 1.6039,              0.0010329,              0.0010329,              0.0010329
                     44,                 1.4695,                 1.1342,                 1.5609,                0.78614,                0.50793,                0.50893,                0.26583,                 1.3477,                 1.0501,                 1.5983,              0.0010234,              0.0010234,              0.0010234
                     45,                  1.426,                 1.0784,                 1.5487,                 0.7994,                0.50095,                0.52307,                0.27103,                 1.3353,                 1.0146,                 1.5804,               0.001014,               0.001014,               0.001014
                     46,                 1.4915,                 1.0971,                 1.6628,                0.84762,                0.48163,                0.55128,                0.28839,                 1.3155,                0.98959,                 1.5548,              0.0010046,              0.0010046,              0.0010046
                     47,                 1.5345,                 1.1429,                  1.569,                0.79953,                0.52898,                0.56481,                0.30242,                 1.3056,                0.99285,                 1.5533,             0.00099516,             0.00099516,             0.00099516
                     48,                 1.4232,                 1.0075,                 1.4962,                0.79092,                0.54288,                 0.5755,                 0.3089,                 1.3525,                 1.0272,                 1.6114,             0.00098572,             0.00098572,             0.00098572
                     49,                 1.4866,                 1.0977,                 1.6178,                0.81398,                0.53188,                 0.5819,                0.31469,                 1.3641,                 1.0403,                 1.6203,             0.00097629,             0.00097629,             0.00097629
                     50,                 1.4849,                  1.126,                 1.6362,                0.81186,                0.53846,                0.61682,                0.34226,                 1.3094,                 1.0054,                 1.5698,             0.00096686,             0.00096686,             0.00096686
                     51,                 1.4508,                 1.0763,                 1.5718,                0.80997,                0.56654,                0.62464,                0.35337,                 1.2785,                0.98171,                 1.5504,             0.00095743,             0.00095743,             0.00095743
                     52,                 1.4589,                 1.0444,                 1.5852,                0.80083,                 0.5506,                0.60459,                0.34637,                 1.2632,                0.96554,                 1.5494,               0.000948,               0.000948,               0.000948
                     53,                  1.401,                 1.0455,                 1.5571,                0.85363,                0.47085,                 0.5444,                 0.3032,                 1.2733,                0.96095,                 1.5737,             0.00093857,             0.00093857,             0.00093857
                     54,                 1.4292,                 1.0615,                 1.6482,                0.80906,                0.51348,                0.53478,                 0.2984,                 1.2832,                0.95459,                 1.5884,             0.00092914,             0.00092914,             0.00092914
                     55,                 1.3821,                 1.0425,                 1.5689,                0.49945,                0.48929,                0.53887,                0.30204,                 1.2945,                0.95764,                 1.6063,              0.0009197,              0.0009197,              0.0009197
                     56,                 1.3967,                 1.0381,                 1.6136,                0.64523,                0.58646,                0.59057,                0.31351,                 1.2742,                0.94992,                 1.5876,             0.00091027,             0.00091027,             0.00091027
                     57,                   1.41,                 1.0527,                 1.6051,                 0.6843,                0.59184,                0.60713,                0.32564,                 1.2621,                0.94842,                  1.572,             0.00090084,             0.00090084,             0.00090084
                     58,                 1.3905,                 1.0075,                 1.5883,                0.55085,                0.50476,                 0.5665,                0.32328,                 1.2672,                  0.953,                  1.578,             0.00089141,             0.00089141,             0.00089141
                     59,                 1.4507,                 1.0591,                  1.691,                0.77688,                0.59445,                 0.6515,                0.33332,                 1.2667,                0.94144,                 1.5768,             0.00088198,             0.00088198,             0.00088198
                     60,                 1.4236,                0.99755,                 1.5617,                0.74768,                0.60013,                0.65967,                0.33745,                 1.2653,                 0.9222,                 1.5711,             0.00087255,             0.00087255,             0.00087255
                     61,                 1.3719,                0.97893,                 1.6053,                0.81136,                0.56631,                0.68185,                0.34456,                 1.2549,                0.89368,                 1.5616,             0.00086312,             0.00086312,             0.00086312
                     62,                 1.4268,                 1.0558,                 1.7125,                0.81132,                0.59655,                0.70282,                0.35152,                 1.2485,                0.88224,                 1.5502,             0.00085368,             0.00085368,             0.00085368
                     63,                 1.4353,                 1.0662,                 1.6772,                0.78534,                0.71522,                0.73746,                0.36234,                 1.2554,                0.89844,                  1.561,             0.00084425,             0.00084425,             0.00084425
                     64,                 1.3776,                0.98895,                 1.5046,                0.82477,                0.65574,                0.73012,                0.35004,                 1.3233,                0.93965,                 1.6285,             0.00083482,             0.00083482,             0.00083482
                     65,                 1.3606,                0.96641,                 1.5537,                0.82636,                0.64083,                0.72899,                0.33756,                  1.403,                 0.9934,                 1.7122,             0.00082539,             0.00082539,             0.00082539
                     66,                 1.3661,                0.97835,                 1.5532,                0.83838,                0.64297,                0.73422,                0.34336,                 1.3854,                0.99321,                 1.7009,             0.00081596,             0.00081596,             0.00081596
                     67,                 1.3632,                0.98547,                 1.5639,                0.84965,                0.66437,                0.73878,                0.36354,                 1.2845,                0.94205,                 1.6037,             0.00080653,             0.00080653,             0.00080653
                     68,                 1.4144,                 0.9915,                 1.5089,                0.80015,                0.69488,                0.74139,                0.38472,                 1.2217,                 0.9051,                 1.5383,              0.0007971,              0.0007971,              0.0007971
                     69,                  1.385,                0.94672,                 1.5138,                0.87489,                0.59566,                0.71978,                0.39589,                 1.2074,                0.88488,                   1.52,             0.00078766,             0.00078766,             0.00078766
                     70,                 1.4281,                0.97599,                 1.5616,                 0.7788,                0.64101,                 0.7235,                0.39551,                 1.2082,                0.87154,                 1.5137,             0.00077823,             0.00077823,             0.00077823
                     71,                 1.3558,                0.94362,                 1.5085,                0.78314,                 0.6233,                0.70593,                0.39122,                 1.2129,                0.87256,                 1.5265,              0.0007688,              0.0007688,              0.0007688
                     72,                 1.3372,                 1.0073,                 1.5473,                0.72635,                0.62916,                0.70207,                0.38261,                 1.2261,                0.87535,                 1.5431,             0.00075937,             0.00075937,             0.00075937
                     73,                 1.3823,                0.98878,                 1.5482,                0.72623,                0.64176,                0.70259,                0.38228,                 1.2242,                0.86867,                  1.541,             0.00074994,             0.00074994,             0.00074994
                     74,                 1.3278,                0.95295,                 1.5595,                0.78077,                0.63198,                0.73193,                0.38752,                  1.213,                0.86476,                 1.5276,             0.00074051,             0.00074051,             0.00074051
                     75,                 1.3602,                 1.0186,                 1.5703,                0.70589,                0.62639,                0.71118,                 0.3922,                 1.2023,                0.86337,                 1.5036,             0.00073108,             0.00073108,             0.00073108
                     76,                 1.3583,                0.96063,                 1.5111,                0.67213,                0.61986,                 0.6495,                0.38365,                 1.2223,                0.86485,                  1.506,             0.00072164,             0.00072164,             0.00072164
                     77,                 1.3919,                 1.0002,                 1.5293,                0.68825,                0.60173,                0.63653,                0.37272,                 1.2197,                 0.8545,                 1.5062,             0.00071221,             0.00071221,             0.00071221
                     78,                 1.3397,                 1.0108,                 1.5879,                0.68694,                0.60116,                0.69038,                0.40161,                 1.1884,                0.83025,                 1.4946,             0.00070278,             0.00070278,             0.00070278
                     79,                 1.3664,                0.98971,                 1.5565,                 0.6801,                0.61259,                0.64548,                0.40093,                 1.1748,                0.81082,                 1.4933,             0.00069335,             0.00069335,             0.00069335
                     80,                 1.3148,                0.93203,                 1.5148,                0.69467,                0.61099,                0.64327,                0.40531,                 1.1745,                0.80354,                 1.4962,             0.00068392,             0.00068392,             0.00068392
                     81,                  1.283,                0.88957,                 1.4806,                0.69781,                0.60905,                0.64722,                0.41512,                  1.164,                0.79961,                 1.4857,             0.00067449,             0.00067449,             0.00067449
                     82,                 1.3231,                0.92874,                 1.5005,                0.67976,                0.62747,                0.65401,                0.42242,                 1.1497,                0.79369,                 1.4709,             0.00066506,             0.00066506,             0.00066506
                     83,                 1.3412,                0.97007,                 1.5789,                0.69833,                0.73516,                0.71347,                0.46044,                 1.1352,                0.78734,                 1.4542,             0.00065563,             0.00065563,             0.00065563
                     84,                 1.3425,                0.93857,                 1.5347,                0.71184,                 0.6511,                0.67639,                0.43754,                  1.125,                 0.7873,                 1.4503,             0.00064619,             0.00064619,             0.00064619
                     85,                 1.3057,                0.91532,                 1.4824,                0.70638,                 0.6584,                0.67746,                0.44084,                  1.124,                0.78861,                 1.4533,             0.00063676,             0.00063676,             0.00063676
                     86,                 1.2808,                0.90028,                 1.5014,                0.71001,                0.66088,                0.71901,                0.46762,                 1.1236,                0.78815,                 1.4546,             0.00062733,             0.00062733,             0.00062733
                     87,                 1.2868,                0.92718,                 1.4737,                0.73952,                0.65573,                0.72676,                 0.4753,                 1.1251,                0.78934,                 1.4546,              0.0006179,              0.0006179,              0.0006179
                     88,                 1.3023,                0.89508,                  1.442,                0.72681,                0.63481,                0.69903,                0.46266,                  1.139,                0.79392,                 1.4671,             0.00060847,             0.00060847,             0.00060847
                     89,                 1.3045,                0.89433,                 1.5136,                0.75887,                0.62593,                0.69819,                0.44341,                 1.1731,                0.79674,                  1.503,             0.00059904,             0.00059904,             0.00059904
                     90,                 1.3184,                0.96651,                 1.5087,                0.78815,                0.59504,                0.69453,                0.43463,                 1.1913,                 0.7935,                 1.5229,             0.00058961,             0.00058961,             0.00058961
                     91,                 1.2485,                0.88028,                 1.4954,                0.80367,                0.60622,                0.72427,                0.45353,                 1.1715,                0.78064,                 1.5068,             0.00058017,             0.00058017,             0.00058017
                     92,                 1.3055,                0.90478,                 1.5327,                 0.8371,                0.62647,                0.72387,                0.46466,                 1.1178,                 0.7581,                 1.4607,             0.00057074,             0.00057074,             0.00057074
                     93,                 1.3197,                0.87977,                 1.3961,                0.86065,                0.62555,                0.73678,                0.47795,                 1.1007,                0.74487,                 1.4496,             0.00056131,             0.00056131,             0.00056131
                     94,                 1.2916,                0.90309,                 1.4471,                0.72332,                 0.7172,                0.75096,                0.48102,                 1.1032,                0.74218,                 1.4573,             0.00055188,             0.00055188,             0.00055188
                     95,                 1.2971,                0.88051,                 1.4991,                0.72678,                0.71123,                0.74567,                0.47744,                  1.116,                0.74687,                 1.4761,             0.00054245,             0.00054245,             0.00054245
                     96,                 1.2682,                0.84094,                 1.4882,                0.76005,                0.72213,                0.74985,                0.46936,                 1.1263,                  0.752,                 1.4893,             0.00053302,             0.00053302,             0.00053302
                     97,                 1.2198,                0.81909,                 1.5072,                0.68595,                0.72144,                0.73192,                0.47436,                  1.105,                0.74831,                 1.4734,             0.00052359,             0.00052359,             0.00052359
                     98,                  1.265,                0.88674,                  1.494,                0.70833,                0.73599,                 0.6937,                0.46206,                 1.0829,                0.73485,                 1.4553,             0.00051415,             0.00051415,             0.00051415
                     99,                 1.2559,                0.87967,                 1.4524,                0.68988,                 0.6637,                 0.6777,                0.45431,                 1.0755,                0.72919,                 1.4496,             0.00050472,             0.00050472,             0.00050472
                    100,                 1.2126,                0.86554,                 1.4828,                  0.592,                0.58138,                0.63837,                0.43945,                 1.0675,                0.71977,                 1.4412,             0.00049529,             0.00049529,             0.00049529
                    101,                 1.2398,                0.87224,                   1.53,                0.61757,                0.56247,                0.63963,                0.44505,                 1.0574,                0.70849,                 1.4275,             0.00048586,             0.00048586,             0.00048586
                    102,                 1.2497,                0.84613,                 1.4979,                0.76915,                0.64482,                 0.7373,                0.45676,                 1.0565,                0.70165,                 1.4211,             0.00047643,             0.00047643,             0.00047643
                    103,                 1.2107,                0.83743,                 1.4558,                0.76505,                0.64143,                0.73739,                0.45464,                 1.0549,                0.69836,                 1.4214,               0.000467,               0.000467,               0.000467
                    104,                 1.2766,                0.88753,                 1.4749,                0.57871,                0.67224,                0.64085,                0.44605,                 1.0647,                0.69841,                 1.4362,             0.00045757,             0.00045757,             0.00045757
                    105,                 1.2663,                0.85945,                 1.5205,                0.63123,                0.74805,                0.68436,                0.46417,                  1.073,                0.70241,                 1.4442,             0.00044813,             0.00044813,             0.00044813
                    106,                 1.2325,                0.84378,                 1.4042,                0.61329,                0.75674,                 0.6752,                0.45406,                 1.0762,                0.70498,                 1.4498,              0.0004387,              0.0004387,              0.0004387
                    107,                 1.2709,                0.87473,                 1.4933,                0.58938,                0.75882,                0.67662,                0.44514,                 1.0787,                0.70861,                 1.4561,             0.00042927,             0.00042927,             0.00042927
                    108,                 1.2262,                 0.8419,                 1.4783,                0.69682,                0.68441,                0.69344,                0.45007,                 1.0627,                 0.7084,                 1.4411,             0.00041984,             0.00041984,             0.00041984
                    109,                 1.1912,                0.84497,                 1.3773,                 0.6968,                0.68362,                0.69539,                0.44563,                 1.0467,                0.70117,                 1.4251,             0.00041041,             0.00041041,             0.00041041
                    110,                 1.2617,                0.88179,                 1.4954,                0.69672,                0.67743,                0.69009,                0.44691,                 1.0413,                0.69589,                 1.4199,             0.00040098,             0.00040098,             0.00040098
                    111,                  1.206,                0.86768,                 1.4494,                0.60592,                0.79298,                0.69863,                0.45042,                 1.0346,                0.69128,                 1.4122,             0.00039155,             0.00039155,             0.00039155
                    112,                 1.2625,                 0.8782,                 1.5179,                0.60564,                0.78929,                0.69715,                 0.4502,                 1.0247,                0.68468,                 1.3961,             0.00038211,             0.00038211,             0.00038211
                    113,                 1.2584,                0.84692,                 1.4458,                0.84424,                0.65043,                0.73781,                0.46632,                 1.0188,                0.68041,                 1.3905,             0.00037268,             0.00037268,             0.00037268
                    114,                 1.2524,                0.89564,                 1.4752,                0.84719,                0.65683,                0.75521,                0.47274,                  1.015,                0.67809,                 1.3915,             0.00036325,             0.00036325,             0.00036325
                    115,                   1.18,                0.81356,                 1.4544,                0.81672,                 0.6309,                0.74281,                0.47815,                 1.0173,                0.67939,                 1.4009,             0.00035382,             0.00035382,             0.00035382
                    116,                   1.25,                0.91334,                 1.5367,                0.73346,                0.75845,                0.75751,                0.49984,                 1.0238,                0.68403,                 1.4105,             0.00034439,             0.00034439,             0.00034439
                    117,                 1.2603,                0.85215,                 1.4559,                0.74714,                0.76192,                0.75897,                0.50392,                 1.0239,                0.68269,                 1.4114,             0.00033496,             0.00033496,             0.00033496
                    118,                 1.1783,                0.79675,                  1.408,                0.76337,                0.76714,                0.76043,                 0.5048,                 1.0103,                0.67389,                  1.395,             0.00032553,             0.00032553,             0.00032553
                    119,                 1.1583,                 0.7935,                 1.4384,                0.76365,                0.77417,                0.76011,                0.47536,                 1.0014,                0.66596,                 1.3841,             0.00031609,             0.00031609,             0.00031609
                    120,                 1.2161,                0.83002,                 1.4662,                0.75644,                0.77849,                0.75917,                0.50976,                0.99811,                0.66264,                 1.3805,             0.00030666,             0.00030666,             0.00030666
                    121,                 1.2504,                0.85314,                 1.5018,                0.92671,                0.76548,                0.78972,                0.48761,                 0.9976,                  0.661,                 1.3821,             0.00029723,             0.00029723,             0.00029723
                    122,                 1.1991,                0.80802,                 1.4441,                0.91205,                 0.7723,                0.79192,                0.53692,                  1.002,                0.66043,                 1.3899,              0.0002878,              0.0002878,              0.0002878
                    123,                 1.2387,                0.80697,                 1.4955,                0.90021,                0.77381,                0.79067,                 0.5307,                 1.0103,                0.66169,                 1.4003,             0.00027837,             0.00027837,             0.00027837
                    124,                 1.1268,                0.78176,                 1.4474,                0.78185,                0.77309,                0.76101,                0.51807,                 1.0124,                0.66183,                    1.4,             0.00026894,             0.00026894,             0.00026894
                    125,                 1.1653,                0.79086,                 1.4339,                0.90927,                0.76464,                0.78527,                0.52709,                 1.0124,                0.66302,                 1.3998,             0.00025951,             0.00025951,             0.00025951
                    126,                 1.1716,                0.82703,                 1.4199,                0.92816,                 0.7461,                0.78592,                0.54201,                 1.0086,                0.66206,                  1.396,             0.00025007,             0.00025007,             0.00025007
                    127,                  1.237,                0.82042,                 1.5103,                0.93895,                0.74317,                0.78728,                0.54049,                0.99874,                0.65817,                 1.3835,             0.00024064,             0.00024064,             0.00024064
                    128,                 1.1854,                0.81293,                 1.4688,                0.80395,                0.76546,                0.76022,                0.52501,                0.99201,                0.65539,                 1.3772,             0.00023121,             0.00023121,             0.00023121
                    129,                 1.2253,                0.83924,                 1.4533,                0.81537,                0.76242,                0.76174,                0.52173,                0.98741,                0.65199,                 1.3741,             0.00022178,             0.00022178,             0.00022178
                    130,                 1.1954,                0.86512,                 1.4903,                 0.8261,                 0.7655,                0.76303,                0.51329,                0.98817,                0.65053,                 1.3796,             0.00021235,             0.00021235,             0.00021235
                    131,                 1.2458,                0.84867,                  1.431,                0.76352,                0.76487,                0.73912,                 0.4996,                0.98782,                0.64993,                 1.3839,             0.00020292,             0.00020292,             0.00020292
                    132,                 1.1963,                0.81067,                 1.4234,                0.76029,                0.69097,                 0.6641,                0.48323,                0.98884,                0.65052,                 1.3886,             0.00019349,             0.00019349,             0.00019349
                    133,                 1.1551,                0.79889,                 1.4091,                0.74416,                0.69833,                0.66501,                 0.4857,                0.98901,                0.65006,                 1.3904,             0.00018406,             0.00018406,             0.00018406
                    134,                 1.1675,                0.76995,                 1.4616,                0.82118,                0.77946,                0.73879,                0.53079,                0.98231,                0.64884,                 1.3838,             0.00017462,             0.00017462,             0.00017462
                    135,                 1.1586,                0.78813,                 1.4664,                0.75693,                0.77535,                0.71123,                0.51669,                0.97639,                0.64706,                 1.3755,             0.00016519,             0.00016519,             0.00016519
